,experiment,dice_score
0,Study-MCUNet-10260,72.38449276729422
1,Study-MCUNet-10400,83.17259375322158
2,Study-MCUNet-10455,83.51144352220003
3,Study-MCUNet-10633,83.33483598163595
4,Study-MCUNet-11824,61.14931978700011
5,Study-MCUNet-11863,79.21918660074564
6,Study-MCUNet-12557,74.278972268552
7,Study-MCUNet-13212,48.393335313459865
8,Study-MCUNet-13381,80.83822947234644
9,Study-MCUNet-13629,80.48915039644817
10,Study-MCUNet-1382,74.98049446124693
11,Study-MCUNet-15082,74.21046135631538
12,Study-MCUNet-1582,62.117897466078155
13,Study-MCUNet-16302,82.89137348169507
14,Study-MCUNet-16547,40.14492728062466
15,Study-MCUNet-17275,84.39531021731239
16,Study-MCUNet-17321,70.8352641209509
17,Study-MCUNet-18097,71.38892418313202
18,Study-MCUNet-18323,77.00983302098548
19,Study-MCUNet-18350,82.72465977384621
20,Study-MCUNet-18497,78.47809659148731
21,Study-MCUNet-19041,79.77383815576411
22,Study-MCUNet-19243,82.7783829570537
23,Study-MCUNet-1929,78.28283781806324
24,Study-MCUNet-20097,83.37731929351517
25,Study-MCUNet-20157,85.4649724701902
26,Study-MCUNet-20198,77.6658695913551
27,Study-MCUNet-2048,18.074253809116982
28,Study-MCUNet-21120,40.780112683659944
29,Study-MCUNet-21325,84.7625218663711
30,Study-MCUNet-21392,82.67941124715776
31,Study-MCUNet-22247,80.16318242831282
32,Study-MCUNet-22495,80.14034226678656
33,Study-MCUNet-2252,85.05733561470106
34,Study-MCUNet-22657,79.02109890978394
35,Study-MCUNet-22690,83.4739479765912
36,Study-MCUNet-22763,68.94838838400109
37,Study-MCUNet-22794,87.06795726492744
38,Study-MCUNet-23031,83.863815805042
39,Study-MCUNet-23565,87.97447269836651
40,Study-MCUNet-23574,81.4307510140718
41,Study-MCUNet-24179,79.105130819553
42,Study-MCUNet-24216,82.584460951167
43,Study-MCUNet-24451,77.40621532697666
44,Study-MCUNet-24486,87.83650011593878
45,Study-MCUNet-2533,78.24781584282263
46,Study-MCUNet-25424,80.58794311755238
47,Study-MCUNet-259,71.92081653240984
48,Study-MCUNet-26275,61.614404129350376
49,Study-MCUNet-2670,77.5346471825756
50,Study-MCUNet-26950,84.30547831711836
51,Study-MCUNet-27727,65.55653785661335
52,Study-MCUNet-27803,77.87535857975386
53,Study-MCUNet-28272,71.8236949042893
54,Study-MCUNet-28292,71.0048905728631
55,Study-MCUNet-2830,86.6341061142526
56,Study-MCUNet-28483,79.9021268736927
57,Study-MCUNet-28561,80.24621749778292
58,Study-MCUNet-28773,84.86798289975803
59,Study-MCUNet-29485,86.3114978503651
60,Study-MCUNet-29708,77.99376024494744
61,Study-MCUNet-30058,75.94456556222427
62,Study-MCUNet-30380,82.47621636895427
63,Study-MCUNet-31585,62.80126049376415
64,Study-MCUNet-31812,72.98098226132649
65,Study-MCUNet-31984,82.47080067339901
66,Study-MCUNet-32021,85.00276637402145
67,Study-MCUNet-33245,82.46070603365375
68,Study-MCUNet-33731,78.20839523193847
69,Study-MCUNet-33966,75.46657944767351
70,Study-MCUNet-34040,81.44758369400073
71,Study-MCUNet-34246,84.28855559993548
72,Study-MCUNet-34518,89.56122274588918
73,Study-MCUNet-35112,75.97390630140104
74,Study-MCUNet-35174,83.16591208925172
75,Study-MCUNet-36750,67.39461989969945
76,Study-MCUNet-36801,75.23960678981038
77,Study-MCUNet-37051,44.62886251635632
78,Study-MCUNet-37683,87.1058676681195
79,Study-MCUNet-38017,82.13266741294574
80,Study-MCUNet-38254,81.44955770623082
81,Study-MCUNet-3837,74.80587838567473
82,Study-MCUNet-38407,71.35415117195278
83,Study-MCUNet-38659,84.76005885546229
84,Study-MCUNet-38942,85.70086123241822
85,Study-MCUNet-38964,77.14028999077127
86,Study-MCUNet-38981,74.2351489073968
87,Study-MCUNet-39438,81.8762749978688
88,Study-MCUNet-40374,78.72473058927679
89,Study-MCUNet-40464,80.6967588650713
90,Study-MCUNet-40535,83.72481734954414
91,Study-MCUNet-40550,84.26543750605254
92,Study-MCUNet-40767,86.01206204564082
93,Study-MCUNet-41111,76.04069905640695
94,Study-MCUNet-41182,73.08523443339323
95,Study-MCUNet-4147,77.45124300170939
96,Study-MCUNet-41805,69.45418054072931
97,Study-MCUNet-42674,72.25745991307541
98,Study-MCUNet-43428,85.13297353257505
99,Study-MCUNet-43460,75.20121596295351
100,Study-MCUNet-43683,67.95066748531295
101,Study-MCUNet-44585,84.2103079515349
102,Study-MCUNet-44659,79.29376000575806
103,Study-MCUNet-45594,72.1138896728936
104,Study-MCUNet-45817,84.2278513625451
105,Study-MCUNet-4595,83.18618691406277
106,Study-MCUNet-46458,17.88176369290368
107,Study-MCUNet-46529,82.17775309126517
108,Study-MCUNet-46853,75.7804811430151
