,experiment,dice_score
0,Study-UNet-10260,75.83547109759743
1,Study-UNet-10400,80.22994690194123
2,Study-UNet-10455,72.48558773402581
3,Study-UNet-10633,71.45262026535478
4,Study-UNet-11824,77.12066658828938
5,Study-UNet-11863,77.56927231939896
6,Study-UNet-12557,78.32555807913741
7,Study-UNet-13212,80.68735024937868
8,Study-UNet-13381,80.503965967371
9,Study-UNet-13629,81.19112131058924
10,Study-UNet-1382,25.675696721260273
11,Study-UNet-15082,75.04998661716361
12,Study-UNet-1582,78.14288421255581
13,Study-UNet-16302,85.73140287539404
14,Study-UNet-16547,83.64292124266707
15,Study-UNet-17275,85.2113644693771
16,Study-UNet-17321,76.28161251746958
17,Study-UNet-18097,67.0278991779409
18,Study-UNet-18323,74.4507876883127
19,Study-UNet-18350,80.48281158622414
20,Study-UNet-18497,43.3233241229481
21,Study-UNet-19041,79.89892531132274
22,Study-UNet-19243,73.16313033264433
23,Study-UNet-1929,72.9319058572249
24,Study-UNet-20097,81.8021838543743
25,Study-UNet-20157,81.51774879492086
26,Study-UNet-20198,74.76996518724306
27,Study-UNet-2048,11.91832511250926
28,Study-UNet-21120,84.2707719306349
29,Study-UNet-21325,80.52638005021926
30,Study-UNet-21392,82.60773391472725
31,Study-UNet-22247,80.0786382073044
32,Study-UNet-22495,79.7547447064305
33,Study-UNet-2252,81.0714488238864
34,Study-UNet-22657,82.22987437003032
35,Study-UNet-22690,77.77547713677374
36,Study-UNet-22763,76.51699406322228
37,Study-UNet-22794,80.92296838418078
38,Study-UNet-23031,78.68912313331086
39,Study-UNet-23565,68.51759721151646
40,Study-UNet-23574,72.10363994900229
41,Study-UNet-24179,76.97586546799891
42,Study-UNet-24216,71.77414339484194
43,Study-UNet-24451,80.9088750420998
44,Study-UNet-24486,45.12481272068235
45,Study-UNet-2533,67.18182886950966
46,Study-UNet-25424,60.68870834416702
47,Study-UNet-259,78.39322514751086
48,Study-UNet-26275,76.00964149255458
49,Study-UNet-2670,65.344170244298
50,Study-UNet-26950,73.41834994511568
51,Study-UNet-27727,78.61723450989363
52,Study-UNet-27803,78.96616864153735
53,Study-UNet-28272,77.19536378650494
54,Study-UNet-28292,69.75479515712713
55,Study-UNet-2830,86.1404735425215
56,Study-UNet-28483,13.8340547580404
57,Study-UNet-28561,71.16914169819046
58,Study-UNet-28773,77.92486330014768
59,Study-UNet-29485,85.7067794066914
60,Study-UNet-29708,80.28253745613212
61,Study-UNet-30058,77.72513987988324
62,Study-UNet-30380,83.20562493756553
63,Study-UNet-31585,78.16529693921213
64,Study-UNet-31812,64.09794463244005
65,Study-UNet-31984,79.16619963282271
66,Study-UNet-32021,78.63878940375507
67,Study-UNet-33245,74.0610660052475
68,Study-UNet-33731,76.97472812479495
69,Study-UNet-33966,76.51362883071486
70,Study-UNet-34040,81.21002089407902
71,Study-UNet-34246,68.71962011229644
72,Study-UNet-34518,73.42802560249127
73,Study-UNet-35112,85.85420268016041
74,Study-UNet-35174,68.26243284682543
75,Study-UNet-36750,81.85161135319566
76,Study-UNet-36801,79.11150651576348
77,Study-UNet-37051,55.74319078791732
78,Study-UNet-37683,80.94776774220335
79,Study-UNet-38017,81.22113688863789
80,Study-UNet-38254,80.41513842533283
81,Study-UNet-3837,77.90282960462332
82,Study-UNet-38407,67.80603905131738
83,Study-UNet-38659,87.55329218010097
84,Study-UNet-38942,84.3295973124249
85,Study-UNet-38964,76.7433976188124
86,Study-UNet-38981,85.32132609869878
87,Study-UNet-39438,66.7617805813988
88,Study-UNet-40374,82.82809262103173
89,Study-UNet-40464,7.72073816247519
90,Study-UNet-40535,84.37850738617176
91,Study-UNet-40550,81.50079810283482
92,Study-UNet-40767,15.38291131561611
93,Study-UNet-41111,79.11410665188137
94,Study-UNet-41182,66.20900340172994
95,Study-UNet-4147,77.12528037453464
96,Study-UNet-41805,76.31165557139488
97,Study-UNet-42674,83.81549228138152
98,Study-UNet-43428,75.38784110912327
99,Study-UNet-43460,74.42438277139024
100,Study-UNet-43683,71.26972881863858
101,Study-UNet-44585,71.72293239994175
102,Study-UNet-44659,71.76023253729203
103,Study-UNet-45594,31.02355705701052
104,Study-UNet-45817,73.69062237723826
105,Study-UNet-4595,78.77176251170613
106,Study-UNet-46458,77.80869140718698
107,Study-UNet-46529,80.7012249716047
108,Study-UNet-46853,76.34011659019002
109,Study-UNet-47188,76.18149167736776
110,Study-UNet-47306,84.02297164562576
111,Study-UNet-47745,79.52410766573063
112,Study-UNet-49424,71.26129866798816
113,Study-UNet-50356,52.43297812390908
114,Study-UNet-50395,5.3513170978382405
115,Study-UNet-50603,76.93058082120596
116,Study-UNet-51117,66.18229960926949
117,Study-UNet-51302,64.9716770350366
118,Study-UNet-51573,73.40387912490527
119,Study-UNet-52769,79.18026414276369
120,Study-UNet-52796,80.72473768854557
121,Study-UNet-53462,83.5631736214988
122,Study-UNet-53639,85.96299390606696
123,Study-UNet-53703,84.67158742839817
124,Study-UNet-53873,84.03120918015136
125,Study-UNet-53887,74.35075413603606
126,Study-UNet-54070,70.90064984275205
127,Study-UNet-54216,75.71498243758825
128,Study-UNet-54466,42.27524936522113
129,Study-UNet-54731,69.93870126185458
130,Study-UNet-55510,72.07124389996441
131,Study-UNet-57454,79.22766286867558
132,Study-UNet-57656,82.89793824304081
133,Study-UNet-5820,79.80818415596713
134,Study-UNet-58312,76.88054131273083
135,Study-UNet-59545,85.99596379138885
136,Study-UNet-60726,67.43160398080188
137,Study-UNet-61382,76.04524103809726
138,Study-UNet-61452,67.21269610231083
139,Study-UNet-61754,57.6654999386683
140,Study-UNet-6182,81.24112869179555
141,Study-UNet-61886,80.70302407372142
142,Study-UNet-61935,47.38747716144916
143,Study-UNet-62350,81.94606190508732
144,Study-UNet-62356,82.40796226307452
145,Study-UNet-62372,49.68830583622637
146,Study-UNet-63198,78.24712644080644
147,Study-UNet-63237,80.5721428591833
148,Study-UNet-63622,78.77938238132495
149,Study-UNet-63799,67.46995356734391
150,Study-UNet-64268,83.61136366960442
151,Study-UNet-65,78.15670776094916
152,Study-UNet-65580,78.9921637941723
153,Study-UNet-65687,75.14809677303909
154,Study-UNet-65769,75.86277050342969
155,Study-UNet-65801,78.79265438182098
156,Study-UNet-65818,75.76393242019931
157,Study-UNet-65860,78.48522161731054
158,Study-UNet-65905,80.77333070399588
159,Study-UNet-66249,73.64988376274087
160,Study-UNet-67320,70.89261984383033
161,Study-UNet-67690,75.69141723792153
162,Study-UNet-67945,67.31087317998443
163,Study-UNet-68029,78.91703887251944
164,Study-UNet-6842,82.00342170581226
165,Study-UNet-68617,68.9248257364544
166,Study-UNet-68640,71.36806758505637
167,Study-UNet-68647,80.19574569718343
168,Study-UNet-69111,78.29508901921984
169,Study-UNet-69422,59.812517802576984
170,Study-UNet-69641,81.80847340290038
171,Study-UNet-69741,83.71177218805705
172,Study-UNet-69781,83.06704132735922
173,Study-UNet-69800,78.85542874741252
174,Study-UNet-69886,70.5442976778932
175,Study-UNet-70022,84.50554674089071
176,Study-UNet-70051,85.76149980562829
177,Study-UNet-71122,78.39174308038804
178,Study-UNet-71624,70.46288709641976
179,Study-UNet-71712,71.7967041358921
180,Study-UNet-71781,76.00697604069661
181,Study-UNet-71787,73.07504072272965
182,Study-UNet-718,63.02283229144579
183,Study-UNet-71955,68.79496115288347
184,Study-UNet-72350,79.67564772917949
185,Study-UNet-72510,22.697297006396692
186,Study-UNet-72755,68.48063608643558
187,Study-UNet-73667,72.06340347669634
188,Study-UNet-73837,86.74504999903044
189,Study-UNet-74144,79.02183139670922
190,Study-UNet-74419,71.6528320915946
191,Study-UNet-74556,69.2734470988236
192,Study-UNet-74888,64.263838747129
193,Study-UNet-74994,77.57304343848492
194,Study-UNet-76115,75.61009882212603
195,Study-UNet-76872,79.40399078787154
196,Study-UNet-76982,67.28163481433708
197,Study-UNet-77000,75.93872677963437
198,Study-UNet-77134,80.93522970994381
199,Study-UNet-77461,70.64220342234161
200,Study-UNet-77996,72.27584792487002
201,Study-UNet-78280,72.53399875640946
202,Study-UNet-78293,69.38888743447207
203,Study-UNet-78572,81.72400501099571
204,Study-UNet-78591,87.5251581593074
205,Study-UNet-7884,75.09887529739608
206,Study-UNet-79067,60.89783159354709
207,Study-UNet-79287,79.67818737034673
208,Study-UNet-79740,75.27495501230852
209,Study-UNet-7980,77.2193811921096
210,Study-UNet-80520,70.10859314114933
211,Study-UNet-81020,67.3540877628514
212,Study-UNet-81108,83.69817601911011
213,Study-UNet-81452,76.2745980526012
214,Study-UNet-81689,59.79925744620513
215,Study-UNet-8195,77.15056814202713
216,Study-UNet-82326,70.10229166232975
217,Study-UNet-82488,85.40584337635109
218,Study-UNet-82720,77.28496796375289
219,Study-UNet-83316,67.037703162414
220,Study-UNet-83761,85.44398297928608
221,Study-UNet-83877,54.442717727491065
222,Study-UNet-83985,49.65281738905894
223,Study-UNet-84196,79.64211118999611
224,Study-UNet-84366,80.82749474430435
225,Study-UNet-84718,74.06654015962582
226,Study-UNet-84863,76.92724664057651
227,Study-UNet-85096,72.67884550003951
228,Study-UNet-85097,83.17849007998781
229,Study-UNet-85825,75.23795953158411
230,Study-UNet-86325,82.19784255878363
231,Study-UNet-86599,76.72074452565393
232,Study-UNet-8689,79.03529740023083
233,Study-UNet-87077,43.45407612544671
234,Study-UNet-8724,86.97134605499318
235,Study-UNet-87497,80.02062006934942
236,Study-UNet-87907,70.91720607180616
237,Study-UNet-88029,69.46895006316306
238,Study-UNet-88562,73.96871746856725
239,Study-UNet-88691,76.59719895539176
240,Study-UNet-88943,75.13423812672056
241,Study-UNet-89092,1.77001812383097
242,Study-UNet-91357,83.02723631527546
243,Study-UNet-92497,82.17539080805412
244,Study-UNet-92534,83.38288920879941
245,Study-UNet-92639,75.78084606264088
246,Study-UNet-92854,78.8283850850142
247,Study-UNet-93118,78.69435374898282
248,Study-UNet-94173,74.97850129507283
249,Study-UNet-94515,78.16786550805558
250,Study-UNet-94601,6.698426969510201
251,Study-UNet-94768,75.77242208135509
252,Study-UNet-95626,75.86355142396745
253,Study-UNet-96021,78.62369279052953
254,Study-UNet-96154,68.79951457388806
255,Study-UNet-9621,75.5120466977643
256,Study-UNet-9662,77.97339674977046
