,experiment,dice_score
0,Pilot-Study-UNet-11423,78.30529498110945
1,Pilot-Study-UNet-15303,83.39447597777905
2,Pilot-Study-UNet-17439,77.02142377752932
3,Pilot-Study-UNet-18733,77.49194830419978
4,Pilot-Study-UNet-19566,18.84387798784116
5,Pilot-Study-UNet-20289,74.36947675765279
6,Pilot-Study-UNet-21199,71.42386376637005
7,Pilot-Study-UNet-29697,80.92452362093891
8,Pilot-Study-UNet-3262,79.11282780034333
9,Pilot-Study-UNet-35468,79.12931329528632
10,Pilot-Study-UNet-38853,71.79737805458204
11,Pilot-Study-UNet-41559,85.65440810069119
12,Pilot-Study-UNet-41825,78.00447586831194
13,Pilot-Study-UNet-4704,76.53060776907952
14,Pilot-Study-UNet-48592,76.82402854852072
15,Pilot-Study-UNet-49567,80.44713893729174
16,Pilot-Study-UNet-49600,61.58693391167973
17,Pilot-Study-UNet-49697,77.23213683409453
18,Pilot-Study-UNet-5270,72.83673300938806
19,Pilot-Study-UNet-54877,84.1601165558555
20,Pilot-Study-UNet-55529,76.52688190553606
21,Pilot-Study-UNet-55931,77.14245038476302
22,Pilot-Study-UNet-56455,81.08184810521955
23,Pilot-Study-UNet-57903,54.78611976293893
24,Pilot-Study-UNet-5798,82.23789988425655
25,Pilot-Study-UNet-60131,75.23858495078764
26,Pilot-Study-UNet-60456,82.64753360973806
27,Pilot-Study-UNet-61658,62.53183932447956
28,Pilot-Study-UNet-6436,74.87041067933114
29,Pilot-Study-UNet-66189,70.03778044185793
30,Pilot-Study-UNet-68421,58.82699819386721
31,Pilot-Study-UNet-69188,80.73736451827224
32,Pilot-Study-UNet-69675,68.70369573988722
33,Pilot-Study-UNet-70230,68.08972982733053
34,Pilot-Study-UNet-73862,73.33618865388733
35,Pilot-Study-UNet-75327,83.85756804648648
36,Pilot-Study-UNet-76574,82.85479094535529
37,Pilot-Study-UNet-76888,74.27836266772663
38,Pilot-Study-UNet-77846,76.34652149095936
39,Pilot-Study-UNet-78723,74.73795804936515
40,Pilot-Study-UNet-78824,74.57079285486952
41,Pilot-Study-UNet-80887,66.36529595220651
42,Pilot-Study-UNet-8155,69.28721698572257
43,Pilot-Study-UNet-81736,61.95212501810975
44,Pilot-Study-UNet-82520,80.43433493107406
45,Pilot-Study-UNet-84854,64.53409911701142
46,Pilot-Study-UNet-8526,88.52670802221189
47,Pilot-Study-UNet-97682,77.106837087626
48,Pilot-Study-UNet-98145,66.77075696524665
49,Pilot-Study-UNet-99097,77.56002592535162
